[*] Computing DDT
[+] DDT Computed
DDT took 42.302µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=8504835464257732330 [0, 1, 5, 11, 12, 14]
Iter#2 New set #1 of size 7 (2.0 its/hit = 0.000s/hit): seed=14367079839999278860 [1, 6, 8, 9, 10, 12, 13]
Iter#4 New set #2 of size 7 (2.0 its/hit = 0.000s/hit): seed=10460200281822800828 [0, 5, 7, 8, 11, 14, 15]
Iter#5 New set #3 of size 7 (1.7 its/hit = 0.000s/hit): seed=9361050921348242912 [0, 5, 7, 8, 11, 14, 15]
Iter#6 New set #4 of size 7 (1.5 its/hit = 0.000s/hit): seed=13866286233899037244 [1, 4, 6, 10, 12, 13, 14]
Iter#7 New set #5 of size 7 (1.4 its/hit = 0.000s/hit): seed=14812358782633400761 [0, 4, 5, 6, 11, 12, 14]
Iter#12 New set #6 of size 7 (2.0 its/hit = 0.000s/hit): seed=3479240912713113149 [1, 3, 5, 6, 7, 10, 13]
Iter#13 New set #7 of size 7 (1.9 its/hit = 0.000s/hit): seed=5901205803678558560 [0, 4, 5, 6, 11, 12, 14]
Iter#17 New set #8 of size 7 (2.1 its/hit = 0.000s/hit): seed=2345550830991603315 [0, 1, 3, 5, 7, 11, 14]
Iter#20 New set #9 of size 7 (2.2 its/hit = 0.000s/hit): seed=10016396619595249846 [4, 6, 8, 9, 12, 13, 14]
Iter#22 New set #10 of size 7 (2.2 its/hit = 0.000s/hit): seed=4515409210175272781 [0, 5, 7, 8, 11, 14, 15]
Iter#42 New set #20 of size 7 (2.1 its/hit = 0.000s/hit): seed=15999842695235159860 [1, 6, 8, 9, 10, 12, 13]
Iter#57 New set #30 of size 7 (1.9 its/hit = 0.000s/hit): seed=16735260391458263765 [1, 4, 6, 10, 12, 13, 14]
Iter#84 New set #40 of size 7 (2.1 its/hit = 0.000s/hit): seed=14800265316294658903 [1, 3, 5, 6, 7, 10, 13]
Iter#104 New set #50 of size 7 (2.1 its/hit = 0.000s/hit): seed=5164817735171921907 [0, 4, 5, 6, 11, 12, 14]
Iter#134 New set #60 of size 7 (2.2 its/hit = 0.000s/hit): seed=3292115153245958169 [0, 4, 5, 6, 11, 12, 14]
Iter#155 New set #70 of size 7 (2.2 its/hit = 0.000s/hit): seed=136040268238242186 [0, 1, 3, 5, 7, 8, 15]
Iter#176 New set #80 of size 7 (2.2 its/hit = 0.000s/hit): seed=16013098620905775864 [1, 4, 6, 10, 12, 13, 14]
Iter#203 New set #90 of size 7 (2.3 its/hit = 0.000s/hit): seed=10305006739169341544 [1, 3, 5, 6, 7, 10, 13]
