[*] Computing DDT
[+] DDT Computed
DDT took 39.531µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=14763207674602544899 [2, 3, 6, 7, 9, 10]
Iter#2 New set #2 of size 6 (1.0 its/hit = 0.000s/hit): seed=4369166221659843514 [0, 1, 5, 10, 12, 14]
Iter#3 New set #1 of size 7 (3.0 its/hit = 0.000s/hit): seed=12430381325998651822 [0, 2, 3, 6, 7, 8, 10]
Iter#4 New set #2 of size 7 (2.0 its/hit = 0.000s/hit): seed=6158692680622747782 [1, 2, 3, 6, 7, 13, 15]
Iter#5 New set #3 of size 7 (1.7 its/hit = 0.000s/hit): seed=3646739203410981472 [0, 2, 3, 6, 7, 8, 10]
Iter#6 New set #4 of size 7 (1.5 its/hit = 0.000s/hit): seed=16825873905196870087 [5, 7, 8, 9, 11, 12, 13]
Iter#7 New set #5 of size 7 (1.4 its/hit = 0.000s/hit): seed=16537525437780330116 [0, 2, 3, 6, 7, 8, 10]
Iter#8 New set #6 of size 7 (1.3 its/hit = 0.000s/hit): seed=10920480621910872067 [0, 1, 2, 5, 8, 10, 14]
Iter#9 New set #7 of size 7 (1.3 its/hit = 0.000s/hit): seed=12137153955514758178 [0, 2, 3, 6, 7, 8, 10]
Iter#10 New set #8 of size 7 (1.2 its/hit = 0.000s/hit): seed=8050499346567189006 [1, 2, 3, 6, 7, 13, 15]
Iter#11 New set #9 of size 7 (1.2 its/hit = 0.000s/hit): seed=11686273590756090197 [1, 4, 5, 6, 10, 12, 14]
Iter#12 New set #10 of size 7 (1.2 its/hit = 0.000s/hit): seed=12169471180166950883 [0, 1, 2, 5, 8, 10, 14]
Iter#24 New set #20 of size 7 (1.2 its/hit = 0.000s/hit): seed=13482038749346008134 [0, 1, 2, 5, 8, 10, 14]
Iter#36 New set #30 of size 7 (1.2 its/hit = 0.000s/hit): seed=17252591627066282405 [0, 1, 2, 5, 8, 10, 14]
Iter#50 New set #40 of size 7 (1.2 its/hit = 0.000s/hit): seed=3169670850642842875 [0, 4, 5, 7, 9, 11, 15]
Iter#63 New set #50 of size 7 (1.3 its/hit = 0.000s/hit): seed=9143914572074853482 [5, 7, 8, 9, 11, 12, 13]
Iter#76 New set #60 of size 7 (1.3 its/hit = 0.000s/hit): seed=6225316873753569987 [0, 2, 3, 6, 7, 8, 10]
Iter#89 New set #70 of size 7 (1.3 its/hit = 0.000s/hit): seed=18371251654409449796 [0, 2, 8, 9, 10, 12, 13]
Iter#100 New set #80 of size 7 (1.2 its/hit = 0.000s/hit): seed=8334099364234311567 [0, 1, 3, 4, 11, 13, 15]
Iter#113 New set #90 of size 7 (1.3 its/hit = 0.000s/hit): seed=9877428742897507123 [1, 3, 8, 9, 12, 13, 15]
Iter#125 New set #100 of size 7 (1.2 its/hit = 0.000s/hit): seed=26358093582944550 [1, 5, 7, 9, 10, 11, 14]
Iter#250 New set #200 of size 7 (1.2 its/hit = 0.000s/hit): seed=10480402066035981425 [2, 3, 4, 6, 7, 12, 14]
Iter#362 New set #300 of size 7 (1.2 its/hit = 0.000s/hit): seed=16288984454216752718 [0, 1, 3, 4, 11, 13, 15]
Iter#493 New set #400 of size 7 (1.2 its/hit = 0.000s/hit): seed=11681320494673475439 [0, 2, 8, 9, 10, 12, 13]
Iter#615 New set #500 of size 7 (1.2 its/hit = 0.000s/hit): seed=4714331350405798101 [0, 1, 2, 5, 8, 10, 14]
