[*] Computing DDT
[+] DDT Computed
DDT took 39.621µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=16457612644057695309 [0, 1, 2, 4, 9, 12]
Iter#2 New set #1 of size 7 (2.0 its/hit = 0.000s/hit): seed=3234193490976264626 [0, 1, 4, 6, 7, 9, 12]
Iter#4 New set #2 of size 7 (2.0 its/hit = 0.000s/hit): seed=18032589361347677686 [1, 2, 5, 8, 10, 11, 14]
Iter#6 New set #3 of size 7 (2.0 its/hit = 0.000s/hit): seed=16797066684616692225 [1, 3, 5, 10, 13, 14, 15]
Iter#10 New set #4 of size 7 (2.5 its/hit = 0.000s/hit): seed=12686149291121198146 [1, 3, 4, 9, 12, 13, 15]
Iter#11 New set #5 of size 7 (2.2 its/hit = 0.000s/hit): seed=2017975141102503825 [1, 2, 5, 8, 10, 11, 14]
Iter#12 New set #6 of size 7 (2.0 its/hit = 0.000s/hit): seed=5154045095659122637 [0, 1, 5, 6, 7, 10, 14]
Iter#13 New set #7 of size 7 (1.9 its/hit = 0.000s/hit): seed=17170178324381997095 [1, 2, 4, 8, 9, 11, 12]
Iter#14 New set #8 of size 7 (1.8 its/hit = 0.000s/hit): seed=17141475865639289768 [1, 2, 5, 8, 10, 11, 14]
Iter#17 New set #9 of size 7 (1.9 its/hit = 0.000s/hit): seed=12747259060426100091 [1, 2, 5, 8, 10, 11, 14]
Iter#18 New set #10 of size 7 (1.8 its/hit = 0.000s/hit): seed=9263131466964364363 [0, 1, 2, 6, 7, 8, 11]
Iter#35 New set #20 of size 7 (1.8 its/hit = 0.000s/hit): seed=2482767621460761 [1, 3, 4, 9, 12, 13, 15]
Iter#55 New set #30 of size 7 (1.8 its/hit = 0.000s/hit): seed=3187386349451520729 [1, 3, 5, 10, 13, 14, 15]
Iter#73 New set #40 of size 7 (1.8 its/hit = 0.000s/hit): seed=8327734907597882236 [0, 1, 5, 6, 7, 10, 14]
Iter#87 New set #50 of size 7 (1.7 its/hit = 0.000s/hit): seed=12193881621944112007 [0, 1, 2, 6, 7, 8, 11]
Iter#102 New set #60 of size 7 (1.7 its/hit = 0.000s/hit): seed=12951191403506059674 [0, 1, 5, 6, 7, 10, 14]
Iter#119 New set #70 of size 7 (1.7 its/hit = 0.000s/hit): seed=17530889492799963049 [1, 2, 3, 8, 11, 13, 15]
Iter#133 New set #80 of size 7 (1.7 its/hit = 0.000s/hit): seed=11676789293452664031 [1, 2, 3, 8, 11, 13, 15]
Iter#146 New set #90 of size 7 (1.6 its/hit = 0.000s/hit): seed=15189103822771884105 [0, 1, 5, 6, 7, 10, 14]
Iter#159 New set #100 of size 7 (1.6 its/hit = 0.000s/hit): seed=17461538792111843667 [0, 1, 4, 6, 7, 9, 12]
Iter#386 New set #200 of size 7 (1.9 its/hit = 0.000s/hit): seed=15521975752746424705 [1, 4, 5, 9, 10, 12, 14]
Iter#552 New set #300 of size 7 (1.8 its/hit = 0.000s/hit): seed=17020336947231340724 [1, 3, 4, 9, 12, 13, 15]
Iter#745 New set #400 of size 7 (1.9 its/hit = 0.000s/hit): seed=15251716151665621054 [0, 1, 3, 6, 7, 13, 15]
Iter#933 New set #500 of size 7 (1.9 its/hit = 0.000s/hit): seed=9147122984134698975 [0, 1, 5, 6, 7, 10, 14]
Iter#1117 New set #600 of size 7 (1.9 its/hit = 0.000s/hit): seed=11670287750928741117 [0, 1, 3, 6, 7, 13, 15]
Iter#1329 New set #700 of size 7 (1.9 its/hit = 0.000s/hit): seed=7840301812495912918 [1, 2, 4, 8, 9, 11, 12]
Iter#1533 New set #800 of size 7 (1.9 its/hit = 0.000s/hit): seed=7759943101461725190 [1, 4, 5, 9, 10, 12, 14]
Iter#1716 New set #900 of size 7 (1.9 its/hit = 0.000s/hit): seed=13509403528228338724 [0, 1, 4, 6, 7, 9, 12]
Iter#1914 New set #1000 of size 7 (1.9 its/hit = 0.000s/hit): seed=13566890887280102404 [0, 1, 4, 6, 7, 9, 12]
