[*] Computing DDT
[+] DDT Computed
DDT took 42.751µs
Iter#1 New set #1 of size 7 (1.0 its/hit = 0.000s/hit): seed=3531050926534807333 [0, 1, 3, 4, 5, 8, 12]
Iter#2 New set #1 of size 8 (2.0 its/hit = 0.000s/hit): seed=13051026917661308975 [0, 1, 4, 5, 6, 8, 10, 12]
Iter#9 New set #2 of size 8 (4.5 its/hit = 0.000s/hit): seed=7624108909767479935 [0, 1, 4, 5, 6, 8, 10, 12]
Iter#22 New set #3 of size 8 (7.3 its/hit = 0.000s/hit): seed=15450089174928947783 [0, 1, 4, 5, 6, 8, 10, 12]
Iter#24 New set #4 of size 8 (6.0 its/hit = 0.000s/hit): seed=12924501268674617188 [0, 1, 4, 5, 6, 8, 10, 12]
Iter#30 New set #5 of size 8 (6.0 its/hit = 0.000s/hit): seed=3501438976989041446 [0, 1, 4, 5, 6, 8, 10, 12]
Iter#32 New set #6 of size 8 (5.3 its/hit = 0.000s/hit): seed=3371501602934194820 [0, 1, 4, 5, 6, 8, 10, 12]
Iter#41 New set #7 of size 8 (5.9 its/hit = 0.000s/hit): seed=11599254187870995090 [0, 1, 4, 5, 6, 8, 10, 12]
Iter#42 New set #8 of size 8 (5.2 its/hit = 0.000s/hit): seed=12052886688335650750 [0, 1, 4, 5, 6, 8, 10, 12]
Iter#45 New set #9 of size 8 (5.0 its/hit = 0.000s/hit): seed=5443948065411675434 [0, 1, 4, 5, 6, 8, 10, 12]
Iter#53 New set #10 of size 8 (5.3 its/hit = 0.000s/hit): seed=4497064760825798513 [0, 1, 4, 5, 6, 8, 10, 12]
Iter#75 New set #20 of size 8 (3.8 its/hit = 0.000s/hit): seed=5122387541115891078 [0, 1, 4, 5, 6, 8, 10, 12]
Iter#105 New set #30 of size 8 (3.5 its/hit = 0.000s/hit): seed=9890103742454882035 [0, 1, 4, 5, 6, 8, 10, 12]
Iter#180 New set #40 of size 8 (4.5 its/hit = 0.000s/hit): seed=10810469292607540849 [0, 1, 4, 5, 6, 8, 10, 12]
Iter#217 New set #50 of size 8 (4.3 its/hit = 0.000s/hit): seed=7098048040587069924 [0, 1, 4, 5, 6, 8, 10, 12]
Iter#274 New set #60 of size 8 (4.6 its/hit = 0.000s/hit): seed=7778950968543585503 [0, 1, 4, 5, 6, 8, 10, 12]
Iter#315 New set #70 of size 8 (4.5 its/hit = 0.000s/hit): seed=6420617463530846146 [0, 1, 4, 5, 6, 8, 10, 12]
Iter#370 New set #80 of size 8 (4.6 its/hit = 0.000s/hit): seed=3794941132981197527 [0, 1, 4, 5, 6, 8, 10, 12]
Iter#418 New set #90 of size 8 (4.6 its/hit = 0.000s/hit): seed=17538123266903346256 [0, 1, 4, 5, 6, 8, 10, 12]
Iter#447 New set #100 of size 8 (4.5 its/hit = 0.000s/hit): seed=7306622716241215249 [0, 1, 4, 5, 6, 8, 10, 12]
Iter#948 New set #200 of size 8 (4.7 its/hit = 0.000s/hit): seed=1211442116204492132 [0, 1, 4, 5, 6, 8, 10, 12]
Iter#1399 New set #300 of size 8 (4.7 its/hit = 0.000s/hit): seed=3011107939417696430 [0, 1, 4, 5, 6, 8, 10, 12]
Iter#1952 New set #400 of size 8 (4.9 its/hit = 0.000s/hit): seed=3602223744242523397 [0, 1, 4, 5, 6, 8, 10, 12]
