[*] Computing DDT
[+] DDT Computed
DDT took 38.382µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=5141268462838186621 [1, 2, 7, 9, 11, 15]
Iter#2 New set #2 of size 6 (1.0 its/hit = 0.000s/hit): seed=14040350584783373126 [3, 7, 8, 11, 13, 14]
Iter#3 New set #3 of size 6 (1.0 its/hit = 0.000s/hit): seed=9483701178965475194 [0, 1, 7, 9, 10, 15]
Iter#4 New set #1 of size 7 (4.0 its/hit = 0.000s/hit): seed=6246768569570845125 [0, 2, 6, 8, 10, 12, 15]
Iter#5 New set #2 of size 7 (2.5 its/hit = 0.000s/hit): seed=63730549422385392 [0, 2, 6, 8, 10, 12, 13]
Iter#9 New set #3 of size 7 (3.0 its/hit = 0.000s/hit): seed=11604729626005244357 [1, 4, 6, 7, 9, 11, 15]
Iter#11 New set #4 of size 7 (2.8 its/hit = 0.000s/hit): seed=11072427228048701341 [0, 2, 6, 7, 8, 10, 12]
Iter#14 New set #5 of size 7 (2.8 its/hit = 0.000s/hit): seed=16537641230333655693 [0, 2, 6, 8, 10, 11, 12]
Iter#16 New set #6 of size 7 (2.7 its/hit = 0.000s/hit): seed=8905534245075114200 [0, 2, 6, 8, 10, 11, 12]
Iter#18 New set #7 of size 7 (2.6 its/hit = 0.000s/hit): seed=10721774349681534578 [1, 4, 6, 7, 9, 11, 15]
Iter#19 New set #8 of size 7 (2.4 its/hit = 0.000s/hit): seed=7946728207241116692 [2, 6, 8, 11, 12, 13, 14]
Iter#21 New set #9 of size 7 (2.3 its/hit = 0.000s/hit): seed=4456000818634255684 [0, 2, 6, 7, 8, 10, 12]
Iter#22 New set #10 of size 7 (2.2 its/hit = 0.000s/hit): seed=2999866657469235908 [0, 4, 6, 9, 10, 11, 12]
Iter#37 New set #20 of size 7 (1.9 its/hit = 0.000s/hit): seed=14753269071256823300 [0, 2, 6, 8, 10, 11, 12]
Iter#55 New set #30 of size 7 (1.8 its/hit = 0.000s/hit): seed=3768086596536796037 [0, 2, 6, 8, 10, 12, 15]
Iter#74 New set #40 of size 7 (1.9 its/hit = 0.000s/hit): seed=11302962231115147791 [0, 2, 3, 4, 5, 8, 10]
Iter#93 New set #50 of size 7 (1.9 its/hit = 0.000s/hit): seed=14004511798855156183 [0, 2, 3, 6, 8, 10, 12]
Iter#117 New set #60 of size 7 (2.0 its/hit = 0.000s/hit): seed=15309705553509286831 [0, 2, 8, 10, 11, 13, 14]
Iter#135 New set #70 of size 7 (1.9 its/hit = 0.000s/hit): seed=14968966334902394965 [0, 2, 8, 10, 11, 13, 14]
Iter#152 New set #80 of size 7 (1.9 its/hit = 0.000s/hit): seed=13844620416506038549 [2, 4, 6, 8, 9, 11, 12]
Iter#173 New set #90 of size 7 (1.9 its/hit = 0.000s/hit): seed=4157495217899309029 [2, 3, 4, 5, 6, 8, 12]
Iter#188 New set #100 of size 7 (1.9 its/hit = 0.000s/hit): seed=6058833630211382020 [1, 4, 6, 7, 9, 11, 15]
Iter#388 New set #200 of size 7 (1.9 its/hit = 0.000s/hit): seed=2159749599935221847 [0, 2, 6, 8, 10, 11, 12]
Iter#568 New set #300 of size 7 (1.9 its/hit = 0.000s/hit): seed=6816511810001153794 [0, 2, 6, 8, 10, 12, 15]
Iter#748 New set #400 of size 7 (1.9 its/hit = 0.000s/hit): seed=13306349942758207483 [1, 4, 6, 7, 9, 11, 15]
Iter#936 New set #500 of size 7 (1.9 its/hit = 0.000s/hit): seed=18093645259756399982 [0, 2, 6, 8, 10, 12, 15]
Iter#1144 New set #600 of size 7 (1.9 its/hit = 0.000s/hit): seed=14734733808177026259 [0, 2, 6, 7, 8, 10, 12]
Iter#1311 New set #700 of size 7 (1.9 its/hit = 0.000s/hit): seed=16915891158316776312 [0, 1, 2, 6, 8, 10, 12]
Iter#1519 New set #800 of size 7 (1.9 its/hit = 0.000s/hit): seed=2497910494284839527 [1, 4, 6, 7, 9, 11, 15]
Iter#1728 New set #900 of size 7 (1.9 its/hit = 0.000s/hit): seed=12342619064102844547 [0, 2, 6, 8, 10, 12, 13]
Iter#1935 New set #1000 of size 7 (1.9 its/hit = 0.000s/hit): seed=303069472621595903 [0, 2, 6, 8, 10, 12, 13]
Iter#3914 New set #2000 of size 7 (2.0 its/hit = 0.000s/hit): seed=12744662425151000834 [0, 2, 6, 8, 10, 12, 15]
Iter#5917 New set #3000 of size 7 (2.0 its/hit = 0.000s/hit): seed=12928461256446204689 [0, 2, 6, 8, 10, 12, 13]
Iter#7942 New set #4000 of size 7 (2.0 its/hit = 0.000s/hit): seed=13519540852171097768 [0, 1, 2, 6, 8, 10, 12]
Iter#9945 New set #5000 of size 7 (2.0 its/hit = 0.000s/hit): seed=6525094328723336512 [0, 2, 6, 8, 10, 12, 13]
Iter#11944 New set #6000 of size 7 (2.0 its/hit = 0.000s/hit): seed=17212147134057182800 [2, 3, 4, 5, 6, 9, 11]
Iter#13865 New set #7000 of size 7 (2.0 its/hit = 0.000s/hit): seed=15575381500153237561 [0, 2, 6, 8, 9, 10, 12]
Iter#15754 New set #8000 of size 7 (2.0 its/hit = 0.000s/hit): seed=10334111325047885283 [2, 6, 8, 11, 12, 13, 14]
Iter#17774 New set #9000 of size 7 (2.0 its/hit = 0.000s/hit): seed=6771689495518171080 [0, 2, 6, 8, 10, 11, 12]
Iter#19763 New set #10000 of size 7 (2.0 its/hit = 0.000s/hit): seed=368551307167380486 [0, 2, 6, 8, 9, 10, 12]
Iter#39710 New set #20000 of size 7 (2.0 its/hit = 0.000s/hit): seed=14830364810393608912 [0, 2, 6, 8, 10, 12, 15]
Iter#59760 New set #30000 of size 7 (2.0 its/hit = 0.000s/hit): seed=5470746512749781998 [2, 3, 4, 5, 6, 9, 11]
Iter#79699 New set #40000 of size 7 (2.0 its/hit = 0.000s/hit): seed=4391961664244504684 [0, 2, 3, 6, 8, 10, 12]
Iter#99807 New set #50000 of size 7 (2.0 its/hit = 0.000s/hit): seed=4730980419468326784 [0, 2, 5, 6, 8, 10, 12]
Iter#119572 New set #60000 of size 7 (2.0 its/hit = 0.000s/hit): seed=16615572036425211501 [2, 3, 4, 5, 6, 9, 11]
Iter#139393 New set #70000 of size 7 (2.0 its/hit = 0.000s/hit): seed=12690323495569925983 [0, 2, 6, 8, 10, 12, 15]
Iter#159366 New set #80000 of size 7 (2.0 its/hit = 0.000s/hit): seed=11099337136807136359 [4, 6, 8, 9, 11, 13, 14]
Iter#179462 New set #90000 of size 7 (2.0 its/hit = 0.000s/hit): seed=17771165665388520695 [1, 4, 6, 7, 9, 11, 15]
Iter#199493 New set #100000 of size 7 (2.0 its/hit = 0.000s/hit): seed=4113213427681263563 [1, 4, 6, 7, 9, 11, 15]
Iter#399536 New set #200000 of size 7 (2.0 its/hit = 0.000s/hit): seed=15513729068615339092 [0, 2, 6, 7, 8, 10, 12]
Iter#599447 New set #300000 of size 7 (2.0 its/hit = 0.000s/hit): seed=16474668329832542003 [0, 2, 6, 8, 10, 12, 13]
Iter#798743 New set #400000 of size 7 (2.0 its/hit = 0.000s/hit): seed=15091533943055896215 [0, 2, 3, 4, 5, 8, 10]
Iter#997772 New set #500000 of size 7 (2.0 its/hit = 0.000s/hit): seed=10832130798349508464 [0, 2, 6, 8, 10, 12, 15]
Iter#1197898 New set #600000 of size 7 (2.0 its/hit = 0.000s/hit): seed=2443682285702345500 [2, 4, 6, 8, 9, 11, 12]
Iter#1398217 New set #700000 of size 7 (2.0 its/hit = 0.000s/hit): seed=6878979477367582681 [0, 1, 2, 6, 8, 10, 12]
Iter#1597127 New set #800000 of size 7 (2.0 its/hit = 0.000s/hit): seed=6875084741569669075 [0, 2, 8, 10, 11, 13, 14]
Iter#1796757 New set #900000 of size 7 (2.0 its/hit = 0.000s/hit): seed=11134959140092227641 [0, 2, 3, 4, 5, 8, 10]
Iter#1996820 New set #1000000 of size 7 (2.0 its/hit = 0.000s/hit): seed=12202136965878254554 [0, 2, 8, 10, 11, 13, 14]
Iter#3994235 New set #2000000 of size 7 (2.0 its/hit = 0.000s/hit): seed=11123120587111216240 [1, 4, 6, 7, 9, 11, 15]
Iter#5990763 New set #3000000 of size 7 (2.0 its/hit = 0.000s/hit): seed=6722516709012673190 [2, 6, 8, 11, 12, 13, 14]
