[*] Computing DDT
[+] DDT Computed
DDT took 60.162µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=10101824675817122136 [0, 1, 3, 6, 8, 11]
Iter#3 New set #1 of size 7 (3.0 its/hit = 0.000s/hit): seed=3701061644776955689 [3, 4, 5, 7, 10, 11, 15]
Iter#4 New set #1 of size 8 (4.0 its/hit = 0.000s/hit): seed=11295098312149987517 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#7 New set #2 of size 8 (3.5 its/hit = 0.000s/hit): seed=15547854221091059120 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#12 New set #3 of size 8 (4.0 its/hit = 0.000s/hit): seed=13612748716941756299 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#24 New set #4 of size 8 (6.0 its/hit = 0.000s/hit): seed=10408670869127897253 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#26 New set #5 of size 8 (5.2 its/hit = 0.000s/hit): seed=4243562392984268735 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#30 New set #6 of size 8 (5.0 its/hit = 0.000s/hit): seed=11703738092692273998 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#45 New set #7 of size 8 (6.4 its/hit = 0.000s/hit): seed=12303276823485302923 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#48 New set #8 of size 8 (6.0 its/hit = 0.000s/hit): seed=2761821146306347717 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#51 New set #9 of size 8 (5.7 its/hit = 0.000s/hit): seed=5803570301279582625 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#54 New set #10 of size 8 (5.4 its/hit = 0.000s/hit): seed=6877114061774253494 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#99 New set #20 of size 8 (4.9 its/hit = 0.000s/hit): seed=18256669812369873335 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#168 New set #30 of size 8 (5.6 its/hit = 0.000s/hit): seed=16059705869869938063 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#211 New set #40 of size 8 (5.3 its/hit = 0.000s/hit): seed=15831266390529910877 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#263 New set #50 of size 8 (5.3 its/hit = 0.000s/hit): seed=8570898727355401528 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#314 New set #60 of size 8 (5.2 its/hit = 0.000s/hit): seed=11673430987010154409 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#361 New set #70 of size 8 (5.2 its/hit = 0.000s/hit): seed=12467554821306952478 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#394 New set #80 of size 8 (4.9 its/hit = 0.000s/hit): seed=16910836020200982600 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#424 New set #90 of size 8 (4.7 its/hit = 0.000s/hit): seed=6111223373926409118 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#493 New set #100 of size 8 (4.9 its/hit = 0.000s/hit): seed=8207199700780468907 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#942 New set #200 of size 8 (4.7 its/hit = 0.000s/hit): seed=8170721487574770222 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#1411 New set #300 of size 8 (4.7 its/hit = 0.000s/hit): seed=3438152426428641441 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#1918 New set #400 of size 8 (4.8 its/hit = 0.000s/hit): seed=3403322253842699420 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#2418 New set #500 of size 8 (4.8 its/hit = 0.000s/hit): seed=9860924373317706629 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#2864 New set #600 of size 8 (4.8 its/hit = 0.000s/hit): seed=3146414466449457307 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#3381 New set #700 of size 8 (4.8 its/hit = 0.000s/hit): seed=7154817308109227111 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#3754 New set #800 of size 8 (4.7 its/hit = 0.000s/hit): seed=10691446970254130878 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#4203 New set #900 of size 8 (4.7 its/hit = 0.000s/hit): seed=2070771438638829974 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#4665 New set #1000 of size 8 (4.7 its/hit = 0.000s/hit): seed=16882214336053338412 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#9449 New set #2000 of size 8 (4.7 its/hit = 0.000s/hit): seed=212416975189220042 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#14155 New set #3000 of size 8 (4.7 its/hit = 0.000s/hit): seed=9936628368806937208 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#18852 New set #4000 of size 8 (4.7 its/hit = 0.000s/hit): seed=13057334522349017095 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#23523 New set #5000 of size 8 (4.7 its/hit = 0.000s/hit): seed=3183596924338632869 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#28048 New set #6000 of size 8 (4.7 its/hit = 0.000s/hit): seed=16940323207523271309 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#32663 New set #7000 of size 8 (4.7 its/hit = 0.000s/hit): seed=15023204470108456880 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#37268 New set #8000 of size 8 (4.7 its/hit = 0.000s/hit): seed=17671984812590494904 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#41693 New set #9000 of size 8 (4.6 its/hit = 0.000s/hit): seed=6796728760694234801 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#46482 New set #10000 of size 8 (4.6 its/hit = 0.000s/hit): seed=12416271813649827273 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#92922 New set #20000 of size 8 (4.6 its/hit = 0.000s/hit): seed=10707570551871526907 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#139671 New set #30000 of size 8 (4.7 its/hit = 0.000s/hit): seed=3784746071761676366 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#186571 New set #40000 of size 8 (4.7 its/hit = 0.000s/hit): seed=4621092214469024041 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#233718 New set #50000 of size 8 (4.7 its/hit = 0.000s/hit): seed=6760728260109587867 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#280774 New set #60000 of size 8 (4.7 its/hit = 0.000s/hit): seed=9062113202754532559 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#327098 New set #70000 of size 8 (4.7 its/hit = 0.000s/hit): seed=14976036689295620257 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#373759 New set #80000 of size 8 (4.7 its/hit = 0.000s/hit): seed=14299036579723377192 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#419819 New set #90000 of size 8 (4.7 its/hit = 0.000s/hit): seed=15247372406225929113 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#466374 New set #100000 of size 8 (4.7 its/hit = 0.000s/hit): seed=9551866949634054934 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#933584 New set #200000 of size 8 (4.7 its/hit = 0.000s/hit): seed=441889355953641746 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#1400609 New set #300000 of size 8 (4.7 its/hit = 0.000s/hit): seed=9267707457984363321 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#1866734 New set #400000 of size 8 (4.7 its/hit = 0.000s/hit): seed=10438191340938018929 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#2330649 New set #500000 of size 8 (4.7 its/hit = 0.000s/hit): seed=6338625922879081813 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#2796154 New set #600000 of size 8 (4.7 its/hit = 0.000s/hit): seed=9178377167760741089 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#3262112 New set #700000 of size 8 (4.7 its/hit = 0.000s/hit): seed=2779411200989843523 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#3727821 New set #800000 of size 8 (4.7 its/hit = 0.000s/hit): seed=17528602774295299610 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#4193727 New set #900000 of size 8 (4.7 its/hit = 0.000s/hit): seed=10671915931861811542 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#4660447 New set #1000000 of size 8 (4.7 its/hit = 0.000s/hit): seed=15953837075598932143 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#9323843 New set #2000000 of size 8 (4.7 its/hit = 0.000s/hit): seed=15137791517181810643 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#13998722 New set #3000000 of size 8 (4.7 its/hit = 0.000s/hit): seed=11050198081146111870 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#18665957 New set #4000000 of size 8 (4.7 its/hit = 0.000s/hit): seed=7204604404070809738 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#23329297 New set #5000000 of size 8 (4.7 its/hit = 0.000s/hit): seed=17182782495020462733 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#27992265 New set #6000000 of size 8 (4.7 its/hit = 0.000s/hit): seed=1642508395679144053 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#32666042 New set #7000000 of size 8 (4.7 its/hit = 0.000s/hit): seed=11786871980634301550 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#37327650 New set #8000000 of size 8 (4.7 its/hit = 0.000s/hit): seed=17451771473617441194 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#41993606 New set #9000000 of size 8 (4.7 its/hit = 0.000s/hit): seed=7409914479998537888 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#46658597 New set #10000000 of size 8 (4.7 its/hit = 0.000s/hit): seed=8264487484830939242 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#93314548 New set #20000000 of size 8 (4.7 its/hit = 0.000s/hit): seed=11090234361223423293 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#140000719 New set #30000000 of size 8 (4.7 its/hit = 0.000s/hit): seed=14788526232866192211 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#186703402 New set #40000000 of size 8 (4.7 its/hit = 0.000s/hit): seed=4052927953314827544 [0, 3, 7, 8, 11, 13, 14, 15]
Iter#233359853 New set #50000000 of size 8 (4.7 its/hit = 0.000s/hit): seed=16321703090626781858 [0, 3, 7, 8, 11, 13, 14, 15]
