[*] Computing DDT
[+] DDT Computed
DDT took 37.351µs
Iter#1 New set #1 of size 7 (1.0 its/hit = 0.000s/hit): seed=6530236504479443377 [0, 1, 6, 9, 12, 13, 15]
Iter#3 New set #2 of size 7 (1.5 its/hit = 0.000s/hit): seed=14360680747024771252 [0, 2, 4, 5, 6, 7, 11]
Iter#4 New set #3 of size 7 (1.3 its/hit = 0.000s/hit): seed=10408293880663980510 [3, 4, 5, 6, 7, 8, 12]
Iter#5 New set #1 of size 8 (5.0 its/hit = 0.000s/hit): seed=17894630390712191312 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#15 New set #2 of size 8 (7.5 its/hit = 0.000s/hit): seed=17014204253091880195 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#18 New set #3 of size 8 (6.0 its/hit = 0.000s/hit): seed=2482526187873090599 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#27 New set #4 of size 8 (6.8 its/hit = 0.000s/hit): seed=15329314870490264338 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#33 New set #5 of size 8 (6.6 its/hit = 0.000s/hit): seed=8232858402540170217 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#46 New set #6 of size 8 (7.7 its/hit = 0.000s/hit): seed=5153402739592452300 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#47 New set #7 of size 8 (6.7 its/hit = 0.000s/hit): seed=17695046058534746586 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#48 New set #8 of size 8 (6.0 its/hit = 0.000s/hit): seed=17234654301372358728 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#53 New set #9 of size 8 (5.9 its/hit = 0.000s/hit): seed=3309897450882475435 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#59 New set #10 of size 8 (5.9 its/hit = 0.000s/hit): seed=5170806298856866533 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#102 New set #20 of size 8 (5.1 its/hit = 0.000s/hit): seed=17966619181053832638 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#144 New set #30 of size 8 (4.8 its/hit = 0.000s/hit): seed=2677266934966846826 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#223 New set #40 of size 8 (5.6 its/hit = 0.000s/hit): seed=7782087889327319156 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#293 New set #50 of size 8 (5.9 its/hit = 0.000s/hit): seed=11353235444855510558 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#340 New set #60 of size 8 (5.7 its/hit = 0.000s/hit): seed=104353626434222015 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#403 New set #70 of size 8 (5.8 its/hit = 0.000s/hit): seed=8429373111305924618 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#456 New set #80 of size 8 (5.7 its/hit = 0.000s/hit): seed=18133197358257098029 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#501 New set #90 of size 8 (5.6 its/hit = 0.000s/hit): seed=3940033019819156194 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#548 New set #100 of size 8 (5.5 its/hit = 0.000s/hit): seed=2090610278064256170 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#1000 New set #200 of size 8 (5.0 its/hit = 0.000s/hit): seed=14242521442192177130 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#1497 New set #300 of size 8 (5.0 its/hit = 0.000s/hit): seed=16274374513403449828 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#1950 New set #400 of size 8 (4.9 its/hit = 0.000s/hit): seed=9162152851501387429 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#2395 New set #500 of size 8 (4.8 its/hit = 0.000s/hit): seed=2052250990103975806 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#2911 New set #600 of size 8 (4.9 its/hit = 0.000s/hit): seed=10885290776783204657 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#3385 New set #700 of size 8 (4.8 its/hit = 0.000s/hit): seed=16612348524628844911 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#3853 New set #800 of size 8 (4.8 its/hit = 0.000s/hit): seed=18059037161845431037 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#4381 New set #900 of size 8 (4.9 its/hit = 0.000s/hit): seed=14983146037106302131 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#4817 New set #1000 of size 8 (4.8 its/hit = 0.000s/hit): seed=12195759869675696009 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#9324 New set #2000 of size 8 (4.7 its/hit = 0.000s/hit): seed=1006556906765840294 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#14082 New set #3000 of size 8 (4.7 its/hit = 0.000s/hit): seed=4811148342925171078 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#18727 New set #4000 of size 8 (4.7 its/hit = 0.000s/hit): seed=8403454138505854527 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#23102 New set #5000 of size 8 (4.6 its/hit = 0.000s/hit): seed=7049761281820614147 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#27607 New set #6000 of size 8 (4.6 its/hit = 0.000s/hit): seed=11118947507839184519 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#32116 New set #7000 of size 8 (4.6 its/hit = 0.000s/hit): seed=7664538396418262383 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#36625 New set #8000 of size 8 (4.6 its/hit = 0.000s/hit): seed=13322666707502493059 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#41338 New set #9000 of size 8 (4.6 its/hit = 0.000s/hit): seed=15024075780234571411 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#46019 New set #10000 of size 8 (4.6 its/hit = 0.000s/hit): seed=4183461578024154902 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#92196 New set #20000 of size 8 (4.6 its/hit = 0.000s/hit): seed=2774541491895493009 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#138414 New set #30000 of size 8 (4.6 its/hit = 0.000s/hit): seed=7119901159361415143 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#185502 New set #40000 of size 8 (4.6 its/hit = 0.000s/hit): seed=6968073053443669617 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#231813 New set #50000 of size 8 (4.6 its/hit = 0.000s/hit): seed=11934526218607461796 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#278377 New set #60000 of size 8 (4.6 its/hit = 0.000s/hit): seed=15762477493393825871 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#326212 New set #70000 of size 8 (4.7 its/hit = 0.000s/hit): seed=14012553360856758571 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#373012 New set #80000 of size 8 (4.7 its/hit = 0.000s/hit): seed=13468882893665482584 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#420046 New set #90000 of size 8 (4.7 its/hit = 0.000s/hit): seed=437533629893478122 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#467228 New set #100000 of size 8 (4.7 its/hit = 0.000s/hit): seed=2394447416602475322 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#933560 New set #200000 of size 8 (4.7 its/hit = 0.000s/hit): seed=17339690120831233102 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#1401100 New set #300000 of size 8 (4.7 its/hit = 0.000s/hit): seed=6922915748262245747 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#1868919 New set #400000 of size 8 (4.7 its/hit = 0.000s/hit): seed=17906886235311599674 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#2336031 New set #500000 of size 8 (4.7 its/hit = 0.000s/hit): seed=6903101305643049931 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#2801250 New set #600000 of size 8 (4.7 its/hit = 0.000s/hit): seed=17978128039400487422 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#3266501 New set #700000 of size 8 (4.7 its/hit = 0.000s/hit): seed=9011258468209440104 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#3734768 New set #800000 of size 8 (4.7 its/hit = 0.000s/hit): seed=3276624404874283187 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#4202303 New set #900000 of size 8 (4.7 its/hit = 0.000s/hit): seed=2296031350172235903 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#4671128 New set #1000000 of size 8 (4.7 its/hit = 0.000s/hit): seed=10266561535455532974 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#9339557 New set #2000000 of size 8 (4.7 its/hit = 0.000s/hit): seed=7837493115413513886 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#14011148 New set #3000000 of size 8 (4.7 its/hit = 0.000s/hit): seed=107421799760964537 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#18670560 New set #4000000 of size 8 (4.7 its/hit = 0.000s/hit): seed=18380390077367029367 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#23330156 New set #5000000 of size 8 (4.7 its/hit = 0.000s/hit): seed=6506860050327027272 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#27995641 New set #6000000 of size 8 (4.7 its/hit = 0.000s/hit): seed=5407181851121931502 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#32657420 New set #7000000 of size 8 (4.7 its/hit = 0.000s/hit): seed=13308646743929968523 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#37323037 New set #8000000 of size 8 (4.7 its/hit = 0.000s/hit): seed=13715266514455360511 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#41983813 New set #9000000 of size 8 (4.7 its/hit = 0.000s/hit): seed=13645699801778460223 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#46648290 New set #10000000 of size 8 (4.7 its/hit = 0.000s/hit): seed=4618469966978261200 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#93312210 New set #20000000 of size 8 (4.7 its/hit = 0.000s/hit): seed=10755566785170930046 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#139988122 New set #30000000 of size 8 (4.7 its/hit = 0.000s/hit): seed=17636083184026583685 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#186647546 New set #40000000 of size 8 (4.7 its/hit = 0.000s/hit): seed=1348946717810348006 [0, 2, 4, 5, 6, 7, 9, 15]
Iter#233311390 New set #50000000 of size 8 (4.7 its/hit = 0.000s/hit): seed=4302616694241434846 [0, 2, 4, 5, 6, 7, 9, 15]
