[*] Computing DDT
[+] DDT Computed
DDT took 42.571µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=7631855571437485 [0, 2, 4, 9, 12, 13]
Iter#2 New set #1 of size 7 (2.0 its/hit = 0.000s/hit): seed=9423785530694575818 [1, 3, 5, 8, 11, 13, 14]
Iter#3 New set #2 of size 7 (1.5 its/hit = 0.000s/hit): seed=2246126970098213819 [2, 3, 6, 9, 10, 12, 14]
Iter#4 New set #3 of size 7 (1.3 its/hit = 0.000s/hit): seed=7819888934474583485 [0, 3, 5, 10, 11, 13, 15]
Iter#5 New set #4 of size 7 (1.2 its/hit = 0.000s/hit): seed=641135195476989368 [0, 3, 5, 10, 11, 13, 15]
Iter#6 New set #5 of size 7 (1.2 its/hit = 0.000s/hit): seed=14173544297461677855 [2, 3, 6, 9, 10, 12, 14]
Iter#7 New set #6 of size 7 (1.2 its/hit = 0.000s/hit): seed=28844238788338148 [2, 6, 8, 10, 11, 13, 14]
Iter#8 New set #7 of size 7 (1.1 its/hit = 0.000s/hit): seed=4653091553283906783 [3, 5, 8, 11, 13, 14, 15]
Iter#9 New set #8 of size 7 (1.1 its/hit = 0.000s/hit): seed=7891204763564307346 [0, 3, 4, 6, 9, 12, 13]
Iter#11 New set #9 of size 7 (1.2 its/hit = 0.000s/hit): seed=3157662051515082052 [3, 4, 5, 8, 11, 13, 14]
Iter#12 New set #10 of size 7 (1.2 its/hit = 0.000s/hit): seed=11311136796750349067 [0, 3, 5, 8, 10, 14, 15]
Iter#29 New set #20 of size 7 (1.5 its/hit = 0.000s/hit): seed=3692167718777280862 [0, 3, 5, 8, 10, 14, 15]
Iter#43 New set #30 of size 7 (1.4 its/hit = 0.000s/hit): seed=15375649783481274546 [3, 5, 6, 8, 9, 12, 14]
Iter#59 New set #40 of size 7 (1.5 its/hit = 0.000s/hit): seed=14151597829097826231 [0, 4, 8, 9, 11, 13, 14]
Iter#72 New set #50 of size 7 (1.4 its/hit = 0.000s/hit): seed=12975412828930982660 [0, 3, 5, 8, 10, 14, 15]
Iter#91 New set #60 of size 7 (1.5 its/hit = 0.000s/hit): seed=12941476453158614980 [3, 5, 6, 8, 9, 12, 14]
Iter#103 New set #70 of size 7 (1.5 its/hit = 0.000s/hit): seed=4204665630213142691 [2, 3, 6, 9, 10, 12, 14]
Iter#115 New set #80 of size 7 (1.4 its/hit = 0.000s/hit): seed=3674554528606581706 [1, 2, 4, 6, 7, 10, 14]
Iter#129 New set #90 of size 7 (1.4 its/hit = 0.000s/hit): seed=8789035895614259680 [3, 5, 6, 8, 9, 12, 14]
Iter#150 New set #100 of size 7 (1.5 its/hit = 0.000s/hit): seed=1583262198241881523 [3, 5, 8, 10, 11, 13, 14]
Iter#294 New set #200 of size 7 (1.5 its/hit = 0.000s/hit): seed=14688815843096505761 [3, 5, 8, 9, 11, 13, 14]
Iter#455 New set #300 of size 7 (1.5 its/hit = 0.000s/hit): seed=12566245137809107799 [3, 5, 8, 11, 13, 14, 15]
Iter#614 New set #400 of size 7 (1.5 its/hit = 0.000s/hit): seed=2206642433214182878 [1, 3, 5, 8, 11, 13, 14]
Iter#764 New set #500 of size 7 (1.5 its/hit = 0.000s/hit): seed=18056452151319553165 [2, 3, 5, 8, 11, 13, 14]
Iter#926 New set #600 of size 7 (1.5 its/hit = 0.000s/hit): seed=1087164927399628233 [0, 4, 8, 9, 11, 13, 14]
Iter#1088 New set #700 of size 7 (1.6 its/hit = 0.000s/hit): seed=12827614093342464467 [3, 5, 6, 9, 11, 12, 13]
Iter#1247 New set #800 of size 7 (1.6 its/hit = 0.000s/hit): seed=14417187328843297223 [3, 5, 6, 8, 9, 12, 14]
Iter#1401 New set #900 of size 7 (1.6 its/hit = 0.000s/hit): seed=737261401438205715 [0, 3, 5, 10, 11, 13, 15]
Iter#1561 New set #1000 of size 7 (1.6 its/hit = 0.000s/hit): seed=10636078050887475653 [2, 6, 8, 10, 11, 13, 14]
Iter#3070 New set #2000 of size 7 (1.5 its/hit = 0.000s/hit): seed=8649644580843388910 [0, 4, 8, 9, 11, 13, 14]
Iter#4599 New set #3000 of size 7 (1.5 its/hit = 0.000s/hit): seed=13796343623435384299 [0, 3, 4, 6, 9, 12, 13]
Iter#6119 New set #4000 of size 7 (1.5 its/hit = 0.000s/hit): seed=14782927211588777840 [3, 5, 7, 8, 11, 13, 14]
Iter#7673 New set #5000 of size 7 (1.5 its/hit = 0.000s/hit): seed=8319925414794869081 [2, 3, 5, 6, 8, 10, 14]
Iter#9190 New set #6000 of size 7 (1.5 its/hit = 0.000s/hit): seed=14488633896871718458 [1, 2, 4, 6, 7, 10, 14]
Iter#10713 New set #7000 of size 7 (1.5 its/hit = 0.000s/hit): seed=3806630679508180626 [3, 5, 6, 8, 9, 12, 14]
Iter#12246 New set #8000 of size 7 (1.5 its/hit = 0.000s/hit): seed=17911418461399362213 [0, 2, 5, 6, 10, 14, 15]
Iter#13784 New set #9000 of size 7 (1.5 its/hit = 0.000s/hit): seed=15587233977121037400 [3, 5, 6, 9, 11, 12, 13]
Iter#15367 New set #10000 of size 7 (1.5 its/hit = 0.000s/hit): seed=16710244248081234735 [0, 1, 2, 4, 7, 9, 13]
Iter#30798 New set #20000 of size 7 (1.5 its/hit = 0.000s/hit): seed=7791215473892402001 [0, 1, 2, 4, 7, 9, 13]
Iter#46012 New set #30000 of size 7 (1.5 its/hit = 0.000s/hit): seed=3313322448303856251 [0, 1, 2, 4, 7, 9, 13]
Iter#61527 New set #40000 of size 7 (1.5 its/hit = 0.000s/hit): seed=9553377418459235043 [0, 4, 5, 9, 10, 13, 15]
Iter#76812 New set #50000 of size 7 (1.5 its/hit = 0.000s/hit): seed=4449252614292186124 [1, 2, 4, 6, 7, 10, 14]
Iter#92206 New set #60000 of size 7 (1.5 its/hit = 0.000s/hit): seed=13436148372597630353 [3, 5, 8, 10, 11, 13, 14]
Iter#107687 New set #70000 of size 7 (1.5 its/hit = 0.000s/hit): seed=5951320019650621736 [0, 3, 5, 8, 10, 14, 15]
Iter#123100 New set #80000 of size 7 (1.5 its/hit = 0.000s/hit): seed=10264195510799721294 [0, 2, 5, 6, 10, 14, 15]
Iter#138376 New set #90000 of size 7 (1.5 its/hit = 0.000s/hit): seed=18060115187834946385 [0, 1, 2, 4, 7, 9, 13]
Iter#153833 New set #100000 of size 7 (1.5 its/hit = 0.000s/hit): seed=9089952424771599375 [0, 2, 5, 6, 10, 14, 15]
Iter#307732 New set #200000 of size 7 (1.5 its/hit = 0.000s/hit): seed=10612705943199023876 [3, 4, 5, 8, 11, 13, 14]
Iter#460988 New set #300000 of size 7 (1.5 its/hit = 0.000s/hit): seed=16410497167883424103 [2, 3, 6, 9, 10, 12, 14]
Iter#614799 New set #400000 of size 7 (1.5 its/hit = 0.000s/hit): seed=14919053369899875799 [3, 5, 8, 11, 13, 14, 15]
Iter#768736 New set #500000 of size 7 (1.5 its/hit = 0.000s/hit): seed=9991824983751747547 [2, 3, 5, 8, 11, 13, 14]
Iter#922898 New set #600000 of size 7 (1.5 its/hit = 0.000s/hit): seed=18103689341055185491 [0, 3, 5, 8, 10, 14, 15]
Iter#1077156 New set #700000 of size 7 (1.5 its/hit = 0.000s/hit): seed=9887730879891185883 [0, 1, 2, 4, 7, 9, 13]
Iter#1231278 New set #800000 of size 7 (1.5 its/hit = 0.000s/hit): seed=8410054854085117374 [2, 3, 5, 8, 11, 13, 14]
Iter#1385446 New set #900000 of size 7 (1.5 its/hit = 0.000s/hit): seed=13088616455265035874 [2, 3, 6, 9, 10, 12, 14]
Iter#1539042 New set #1000000 of size 7 (1.5 its/hit = 0.000s/hit): seed=4451187726991941336 [3, 5, 6, 9, 11, 12, 13]
Iter#3079389 New set #2000000 of size 7 (1.5 its/hit = 0.000s/hit): seed=8140562596502194980 [0, 2, 5, 6, 10, 14, 15]
Iter#4619200 New set #3000000 of size 7 (1.5 its/hit = 0.000s/hit): seed=8211515506232850476 [1, 2, 4, 6, 7, 10, 14]
Iter#6156946 New set #4000000 of size 7 (1.5 its/hit = 0.000s/hit): seed=3228874232205479641 [2, 6, 8, 10, 11, 13, 14]
Iter#7694280 New set #5000000 of size 7 (1.5 its/hit = 0.000s/hit): seed=10350733109705257939 [2, 3, 5, 8, 11, 13, 14]
Iter#9232682 New set #6000000 of size 7 (1.5 its/hit = 0.000s/hit): seed=878143014910730202 [0, 3, 4, 6, 9, 12, 13]
Iter#10770001 New set #7000000 of size 7 (1.5 its/hit = 0.000s/hit): seed=12969647816310931681 [0, 3, 5, 10, 11, 13, 15]
Iter#12309198 New set #8000000 of size 7 (1.5 its/hit = 0.000s/hit): seed=7482730760263345664 [2, 3, 5, 8, 11, 13, 14]
Iter#13848039 New set #9000000 of size 7 (1.5 its/hit = 0.000s/hit): seed=8252586971191075834 [1, 2, 4, 6, 7, 10, 14]
Iter#15386711 New set #10000000 of size 7 (1.5 its/hit = 0.000s/hit): seed=2450892851007258490 [1, 3, 5, 8, 11, 13, 14]
Iter#30765904 New set #20000000 of size 7 (1.5 its/hit = 0.000s/hit): seed=8935311865591529404 [2, 6, 8, 10, 11, 13, 14]
Iter#46149395 New set #30000000 of size 7 (1.5 its/hit = 0.000s/hit): seed=6600398245203103371 [3, 5, 7, 8, 11, 13, 14]
