[*] Computing DDT
[+] DDT Computed
DDT took 35.362µs
Iter#1 New set #1 of size 5 (1.0 its/hit = 0.000s/hit): seed=12016129710182058936 [1, 4, 5, 6, 9]
Iter#2 New set #2 of size 5 (1.0 its/hit = 0.000s/hit): seed=3695166066927123922 [1, 9, 10, 12, 14]
Iter#3 New set #1 of size 6 (3.0 its/hit = 0.000s/hit): seed=9964222614762446300 [1, 7, 9, 11, 14, 15]
Iter#4 New set #2 of size 6 (2.0 its/hit = 0.000s/hit): seed=16226737822987760014 [3, 6, 9, 10, 11, 13]
Iter#5 New set #3 of size 6 (1.7 its/hit = 0.000s/hit): seed=653311306234928420 [1, 7, 9, 12, 14, 15]
Iter#6 New set #4 of size 6 (1.5 its/hit = 0.000s/hit): seed=5953036409089427626 [0, 4, 9, 10, 11, 14]
Iter#7 New set #5 of size 6 (1.4 its/hit = 0.000s/hit): seed=8975438983720690620 [0, 1, 2, 5, 8, 13]
Iter#8 New set #6 of size 6 (1.3 its/hit = 0.000s/hit): seed=2410033645923224327 [0, 4, 6, 9, 10, 14]
Iter#9 New set #1 of size 7 (9.0 its/hit = 0.000s/hit): seed=17342962767786333302 [0, 1, 7, 9, 11, 12, 15]
Iter#10 New set #2 of size 7 (5.0 its/hit = 0.000s/hit): seed=17213068815812501826 [0, 1, 7, 9, 11, 12, 15]
Iter#11 New set #3 of size 7 (3.7 its/hit = 0.000s/hit): seed=15160664375981546996 [0, 4, 7, 10, 11, 12, 14]
Iter#12 New set #4 of size 7 (3.0 its/hit = 0.000s/hit): seed=11834564543685273502 [0, 4, 5, 8, 10, 13, 14]
Iter#15 New set #5 of size 7 (3.0 its/hit = 0.000s/hit): seed=541190816550917295 [0, 4, 7, 10, 11, 12, 14]
Iter#20 New set #6 of size 7 (3.3 its/hit = 0.000s/hit): seed=9415521010680671313 [0, 4, 7, 10, 11, 12, 14]
Iter#24 New set #7 of size 7 (3.4 its/hit = 0.000s/hit): seed=16907856552404643982 [0, 5, 7, 8, 11, 12, 13]
Iter#27 New set #8 of size 7 (3.4 its/hit = 0.000s/hit): seed=5428240979085168945 [0, 4, 7, 10, 11, 12, 14]
Iter#30 New set #9 of size 7 (3.3 its/hit = 0.000s/hit): seed=11325520829937135248 [0, 4, 7, 10, 11, 12, 14]
Iter#31 New set #10 of size 7 (3.1 its/hit = 0.000s/hit): seed=8640405932208662429 [0, 2, 3, 6, 7, 11, 12]
