[*] Computing DDT
[+] DDT Computed
DDT took 38.771µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=16173423353126559092 [0, 4, 7, 8, 9, 12]
Iter#2 New set #1 of size 7 (2.0 its/hit = 0.000s/hit): seed=8045198121076553107 [0, 1, 3, 5, 7, 11, 14]
Iter#3 New set #2 of size 7 (1.5 its/hit = 0.000s/hit): seed=16145177168783926121 [0, 4, 8, 9, 10, 11, 12]
Iter#5 New set #3 of size 7 (1.7 its/hit = 0.000s/hit): seed=12546056102481124879 [1, 3, 5, 6, 7, 10, 13]
Iter#7 New set #4 of size 7 (1.8 its/hit = 0.000s/hit): seed=8935724462443460872 [1, 2, 3, 5, 7, 12, 13]
Iter#16 New set #5 of size 7 (3.2 its/hit = 0.000s/hit): seed=7294798592198587264 [0, 4, 8, 9, 10, 11, 12]
Iter#17 New set #6 of size 7 (2.8 its/hit = 0.000s/hit): seed=13264559450948592952 [0, 1, 3, 5, 7, 11, 14]
Iter#18 New set #7 of size 7 (2.6 its/hit = 0.000s/hit): seed=15233931112974715679 [0, 5, 8, 9, 10, 11, 14]
Iter#19 New set #8 of size 7 (2.4 its/hit = 0.000s/hit): seed=13004080372457938299 [0, 2, 3, 4, 8, 12, 13]
Iter#23 New set #9 of size 7 (2.6 its/hit = 0.000s/hit): seed=15097000666839873128 [1, 6, 8, 9, 10, 11, 13]
Iter#30 New set #10 of size 7 (3.0 its/hit = 0.000s/hit): seed=1223242184716086671 [0, 1, 3, 5, 7, 11, 14]
Iter#52 New set #20 of size 7 (2.6 its/hit = 0.000s/hit): seed=7119339184335360020 [0, 1, 3, 5, 7, 11, 14]
Iter#80 New set #30 of size 7 (2.7 its/hit = 0.000s/hit): seed=10963242033802675214 [0, 4, 5, 8, 11, 12, 14]
Iter#102 New set #40 of size 7 (2.5 its/hit = 0.000s/hit): seed=2646363182313760923 [1, 3, 5, 6, 7, 10, 13]
Iter#129 New set #50 of size 7 (2.6 its/hit = 0.000s/hit): seed=17342352590149628962 [1, 2, 3, 5, 7, 12, 13]
Iter#145 New set #60 of size 7 (2.4 its/hit = 0.000s/hit): seed=1228160301748304503 [1, 3, 5, 6, 7, 10, 13]
Iter#166 New set #70 of size 7 (2.4 its/hit = 0.000s/hit): seed=18300743708074181403 [1, 6, 8, 9, 10, 11, 13]
Iter#185 New set #80 of size 7 (2.3 its/hit = 0.000s/hit): seed=16098677743805889373 [1, 2, 3, 5, 7, 12, 13]
Iter#206 New set #90 of size 7 (2.3 its/hit = 0.000s/hit): seed=6122390568962355690 [0, 4, 5, 8, 11, 12, 14]
Iter#241 New set #100 of size 7 (2.4 its/hit = 0.000s/hit): seed=3935912808691704466 [1, 2, 3, 5, 7, 12, 13]
Iter#491 New set #200 of size 7 (2.5 its/hit = 0.000s/hit): seed=8341796279871604516 [0, 1, 3, 5, 7, 11, 14]
Iter#755 New set #300 of size 7 (2.5 its/hit = 0.000s/hit): seed=15683475803368088564 [0, 1, 3, 5, 7, 11, 14]
Iter#981 New set #400 of size 7 (2.5 its/hit = 0.000s/hit): seed=1300355213310577854 [0, 1, 3, 5, 7, 11, 14]
Iter#1194 New set #500 of size 7 (2.4 its/hit = 0.000s/hit): seed=10027533171163709317 [1, 3, 5, 6, 7, 10, 13]
Iter#1420 New set #600 of size 7 (2.4 its/hit = 0.000s/hit): seed=14755617280151228056 [1, 2, 3, 6, 10, 12, 13]
Iter#1665 New set #700 of size 7 (2.4 its/hit = 0.000s/hit): seed=2305884070746283127 [0, 2, 3, 4, 8, 12, 13]
Iter#1915 New set #800 of size 7 (2.4 its/hit = 0.000s/hit): seed=12527389826181736158 [1, 3, 5, 6, 7, 10, 13]
Iter#2190 New set #900 of size 7 (2.4 its/hit = 0.000s/hit): seed=2168218563045991998 [0, 5, 8, 9, 10, 11, 14]
Iter#2454 New set #1000 of size 7 (2.5 its/hit = 0.000s/hit): seed=12166343230378793450 [1, 6, 8, 9, 10, 11, 13]
Iter#5114 New set #2000 of size 7 (2.6 its/hit = 0.000s/hit): seed=5442853138633785072 [1, 2, 3, 6, 10, 12, 13]
Iter#7490 New set #3000 of size 7 (2.5 its/hit = 0.000s/hit): seed=13175777599073350264 [0, 4, 8, 9, 10, 11, 12]
Iter#9976 New set #4000 of size 7 (2.5 its/hit = 0.000s/hit): seed=11516196840255968290 [1, 2, 3, 5, 7, 12, 13]
Iter#12562 New set #5000 of size 7 (2.5 its/hit = 0.000s/hit): seed=18266080911607076065 [1, 2, 3, 6, 10, 12, 13]
Iter#15118 New set #6000 of size 7 (2.5 its/hit = 0.000s/hit): seed=1529813164771643494 [1, 2, 3, 5, 7, 12, 13]
Iter#17724 New set #7000 of size 7 (2.5 its/hit = 0.000s/hit): seed=8066523361709945025 [0, 4, 5, 8, 11, 12, 14]
Iter#20200 New set #8000 of size 7 (2.5 its/hit = 0.000s/hit): seed=5170296811140122332 [0, 1, 3, 5, 7, 11, 14]
Iter#22732 New set #9000 of size 7 (2.5 its/hit = 0.000s/hit): seed=670630032853463694 [0, 5, 8, 9, 10, 11, 14]
Iter#25061 New set #10000 of size 7 (2.5 its/hit = 0.000s/hit): seed=1327585337554771756 [1, 2, 3, 6, 10, 12, 13]
Iter#49919 New set #20000 of size 7 (2.5 its/hit = 0.000s/hit): seed=4822813738955247486 [0, 5, 8, 9, 10, 11, 14]
Iter#74510 New set #30000 of size 7 (2.5 its/hit = 0.000s/hit): seed=9590531627063209584 [0, 4, 8, 9, 10, 11, 12]
Iter#99648 New set #40000 of size 7 (2.5 its/hit = 0.000s/hit): seed=8969927483905852565 [0, 5, 8, 9, 10, 11, 14]
Iter#124643 New set #50000 of size 7 (2.5 its/hit = 0.000s/hit): seed=16213960996043694338 [0, 4, 5, 8, 11, 12, 14]
Iter#149827 New set #60000 of size 7 (2.5 its/hit = 0.000s/hit): seed=76839807793778314 [0, 4, 8, 9, 10, 11, 12]
Iter#174391 New set #70000 of size 7 (2.5 its/hit = 0.000s/hit): seed=9218290413906297735 [0, 1, 3, 5, 7, 11, 14]
Iter#199253 New set #80000 of size 7 (2.5 its/hit = 0.000s/hit): seed=15118653948947584328 [0, 2, 3, 4, 8, 12, 13]
Iter#224078 New set #90000 of size 7 (2.5 its/hit = 0.000s/hit): seed=13039487699610477942 [1, 6, 8, 9, 10, 11, 13]
Iter#249135 New set #100000 of size 7 (2.5 its/hit = 0.000s/hit): seed=14553711619337455718 [1, 2, 3, 5, 7, 12, 13]
Iter#497666 New set #200000 of size 7 (2.5 its/hit = 0.000s/hit): seed=15346924858536487395 [0, 2, 3, 4, 8, 12, 13]
Iter#747142 New set #300000 of size 7 (2.5 its/hit = 0.000s/hit): seed=6955034345776310617 [0, 2, 3, 4, 8, 12, 13]
Iter#996286 New set #400000 of size 7 (2.5 its/hit = 0.000s/hit): seed=11299335442059446968 [1, 2, 3, 6, 10, 12, 13]
