[*] Computing DDT
[+] DDT Computed
DDT took 258.518µs
Iter#1 New set #1 of size 9 (1.0 its/hit = 0.000s/hit): seed=10547533920080375369 [7, 26, 39, 46, 49, 50, 53, 61, 63]
Iter#2 New set #2 of size 9 (1.0 its/hit = 0.000s/hit): seed=2149175189829122211 [4, 8, 12, 20, 23, 48, 49, 54, 63]
Iter#3 New set #1 of size 10 (3.0 its/hit = 0.000s/hit): seed=2217244759681098593 [0, 7, 22, 23, 24, 30, 32, 39, 43, 51]
Iter#4 New set #2 of size 10 (2.0 its/hit = 0.000s/hit): seed=12308726011325923728 [0, 4, 5, 7, 28, 32, 39, 41, 45, 51]
Iter#8 New set #3 of size 10 (2.7 its/hit = 0.000s/hit): seed=14235371883639551716 [0, 1, 3, 13, 14, 22, 40, 58, 59, 62]
Iter#11 New set #4 of size 10 (2.8 its/hit = 0.000s/hit): seed=16521140970628618421 [0, 3, 7, 10, 16, 21, 32, 39, 57, 59]
Iter#14 New set #5 of size 10 (2.8 its/hit = 0.000s/hit): seed=9639792311641180803 [0, 1, 19, 29, 30, 43, 44, 58, 59, 63]
Iter#15 New set #6 of size 10 (2.5 its/hit = 0.000s/hit): seed=12734541444920226472 [0, 2, 9, 29, 30, 47, 49, 53, 55, 63]
Iter#16 New set #7 of size 10 (2.3 its/hit = 0.000s/hit): seed=6939142363799908631 [0, 12, 17, 19, 24, 27, 30, 38, 40, 61]
Iter#19 New set #8 of size 10 (2.4 its/hit = 0.000s/hit): seed=268082708041531556 [0, 12, 24, 29, 33, 43, 51, 52, 56, 60]
Iter#20 New set #9 of size 10 (2.2 its/hit = 0.000s/hit): seed=2645840242561263882 [0, 3, 4, 15, 39, 41, 45, 52, 54, 57]
Iter#25 New set #10 of size 10 (2.5 its/hit = 0.000s/hit): seed=14186637844876975744 [0, 1, 22, 26, 40, 42, 53, 58, 59, 62]
Iter#52 New set #20 of size 10 (2.6 its/hit = 0.000s/hit): seed=3747886159610256864 [0, 12, 18, 19, 44, 49, 52, 56, 59, 63]
Iter#74 New set #30 of size 10 (2.5 its/hit = 0.000s/hit): seed=5851901071583533471 [0, 5, 9, 11, 16, 34, 35, 37, 42, 50]
Iter#96 New set #40 of size 10 (2.4 its/hit = 0.000s/hit): seed=12773028105425555798 [0, 3, 7, 8, 13, 14, 17, 25, 32, 39]
Iter#125 New set #50 of size 10 (2.5 its/hit = 0.000s/hit): seed=11142419534963011273 [0, 5, 12, 15, 18, 21, 23, 35, 37, 48]
Iter#163 New set #60 of size 10 (2.7 its/hit = 0.000s/hit): seed=13953362534316687487 [0, 1, 7, 32, 39, 44, 53, 56, 58, 59]
Iter#181 New set #70 of size 10 (2.6 its/hit = 0.000s/hit): seed=18328652892134340583 [0, 2, 3, 10, 17, 20, 40, 53, 55, 56]
Iter#211 New set #80 of size 10 (2.6 its/hit = 0.000s/hit): seed=3228823524259432032 [0, 11, 14, 20, 24, 30, 31, 36, 43, 51]
Iter#238 New set #90 of size 10 (2.6 its/hit = 0.000s/hit): seed=6881595231684578122 [0, 7, 9, 10, 18, 22, 32, 39, 40, 62]
Iter#262 New set #100 of size 10 (2.6 its/hit = 0.000s/hit): seed=16011323053126553346 [0, 5, 6, 7, 26, 28, 32, 39, 45, 51]
Iter#511 New set #200 of size 10 (2.6 its/hit = 0.000s/hit): seed=11191573297785065809 [0, 10, 12, 19, 44, 47, 52, 56, 61, 63]
Iter#827 New set #300 of size 10 (2.8 its/hit = 0.000s/hit): seed=17544306962609436872 [0, 3, 10, 11, 13, 14, 20, 31, 36, 46]
Iter#1121 New set #400 of size 10 (2.8 its/hit = 0.000s/hit): seed=7572690179864068610 [0, 1, 4, 21, 37, 41, 45, 48, 58, 59]
Iter#1440 New set #500 of size 10 (2.9 its/hit = 0.000s/hit): seed=173575950151048901 [0, 16, 21, 29, 33, 34, 37, 48, 50, 60]
Iter#1710 New set #600 of size 10 (2.8 its/hit = 0.000s/hit): seed=1027476492189604563 [0, 4, 10, 11, 41, 42, 45, 47, 51, 63]
Iter#2001 New set #700 of size 10 (2.9 its/hit = 0.000s/hit): seed=637586746748764059 [0, 19, 20, 21, 32, 37, 44, 46, 48, 63]
Iter#2257 New set #800 of size 10 (2.8 its/hit = 0.000s/hit): seed=13786003477563710801 [0, 5, 8, 17, 18, 23, 25, 27, 38, 61]
Iter#2526 New set #900 of size 10 (2.8 its/hit = 0.000s/hit): seed=9631636459117041955 [0, 7, 19, 21, 32, 37, 39, 44, 48, 63]
Iter#2811 New set #1000 of size 10 (2.8 its/hit = 0.000s/hit): seed=6762838729921809698 [0, 16, 24, 29, 30, 33, 42, 43, 51, 60]
